client_id,product_1,product_2,product_3,product_4,product_5,age,annual_income,previous_purchases,purchase_next_month
1,0,0,1,0,1,23,87560,1,1
2,1,1,1,1,0,29,24950,4,0
3,0,1,1,1,1,30,28156,8,0
4,0,1,0,1,1,32,98277,0,1
5,0,1,0,1,0,45,63581,4,1
6,1,1,0,1,1,43,70673,9,0
7,0,0,1,1,1,22,88600,7,0
8,0,0,1,1,1,37,20921,7,0
9,0,0,0,1,0,61,22215,9,1
10,1,1,1,1,1,62,23966,5,1
11,0,0,1,0,1,30,61571,7,1
12,0,1,0,0,1,27,62394,5,1
13,0,1,1,1,1,37,26056,7,0
14,0,0,1,1,1,66,98199,6,1
15,1,1,0,1,1,20,48822,5,1
16,0,0,1,1,1,60,49442,5,0
17,1,0,1,0,0,39,84173,6,1
18,1,1,0,0,1,62,58461,5,1
19,1,0,1,0,1,23,21097,0,1
20,0,0,1,1,0,21,29534,7,0
21,1,1,0,0,1,63,99118,1,0
22,0,0,1,0,1,47,35435,8,1
23,1,0,1,1,1,33,90647,2,0
24,1,1,1,1,0,31,70855,3,0
25,1,0,1,0,0,35,55080,1,0
26,1,1,0,1,0,62,76380,6,0
27,1,1,1,0,0,61,95031,0,1
28,1,0,0,1,1,44,34534,4,1
29,1,1,1,0,1,23,70311,3,1
30,1,1,0,1,0,23,21735,8,0
31,0,0,1,0,1,45,95603,8,1
32,0,1,0,0,1,34,30041,9,1
33,1,1,1,0,0,62,71629,0,1
34,1,0,1,0,1,25,35048,4,0
35,1,0,1,1,1,61,29563,3,1
36,0,1,0,0,1,39,34999,0,1
37,1,1,1,1,1,54,88883,8,0
38,0,0,1,0,0,20,23187,8,1
39,0,1,0,0,1,29,44005,7,1
40,0,0,0,1,0,66,83502,1,0
41,0,1,1,0,0,49,52497,4,0
42,0,1,1,0,1,32,94034,2,0
43,1,1,1,1,1,62,29102,3,1
44,1,1,1,1,1,56,93350,8,1
45,1,1,0,1,1,55,73906,1,0
46,1,1,0,1,0,62,76767,9,1
47,1,0,0,1,1,57,69933,4,0
48,0,1,0,1,1,51,36463,4,1
49,1,1,1,1,1,22,64724,2,1
50,1,1,1,1,1,58,51591,5,0
51,0,0,0,1,0,29,67606,2,1
52,1,1,1,0,0,25,81871,3,0
53,0,0,0,1,0,34,42050,7,0
54,1,1,0,1,1,67,63090,1,1
55,0,0,1,0,1,47,52344,4,0
56,1,1,0,0,0,68,22399,7,1
57,1,1,1,0,1,36,42462,2,1
58,0,1,0,1,0,68,29171,1,0
59,0,1,0,1,1,48,34609,1,1
60,0,1,0,0,1,33,36249,3,1
61,0,1,1,0,1,58,48772,2,0
62,0,0,0,0,1,37,28709,3,0
63,0,1,0,0,1,37,52362,8,0
64,0,1,0,0,0,62,95841,3,1
65,0,0,1,1,0,46,57648,4,1
66,1,0,1,1,1,26,28876,8,1
67,1,1,1,1,1,52,36562,3,1
68,0,0,1,0,1,65,77990,7,1
69,1,0,1,1,1,53,63611,9,1
70,1,0,1,0,0,53,97200,2,0
71,1,0,1,1,1,24,35020,6,1
72,1,0,0,0,0,51,85001,6,1
73,0,0,1,0,1,68,84291,9,1
74,1,0,0,0,0,44,55688,8,0
75,0,1,0,0,1,23,68064,4,1
76,1,1,0,1,1,67,20515,7,0
77,1,1,0,0,0,26,78812,7,1
78,1,0,0,1,1,28,79480,2,0
79,0,1,1,0,1,55,58733,7,0
80,1,1,1,0,1,39,29590,2,1
81,0,1,0,1,0,57,70470,3,0
82,1,1,1,0,0,60,22283,2,0
83,0,0,1,0,0,52,51986,8,0
84,1,0,1,0,1,59,56720,6,0
85,0,0,0,0,1,69,55067,7,1
86,0,0,1,1,0,59,32732,8,0
87,1,0,0,1,1,35,25792,4,1
88,0,0,0,0,1,50,96139,8,1
89,1,1,1,0,0,31,75457,6,1
90,1,1,1,0,0,29,72634,5,1
91,1,0,1,1,1,62,99778,9,1
92,1,1,0,1,0,47,64538,8,0
93,1,1,0,1,0,27,95904,1,1
94,1,0,1,1,0,39,71989,4,0
95,1,1,0,0,0,23,89474,5,1
96,1,0,0,1,1,27,43898,1,1
97,1,1,1,1,1,53,20023,5,1
98,1,0,1,0,0,28,38999,7,1
99,1,0,0,1,1,52,29115,8,0
100,0,0,1,0,1,67,27702,2,1
101,0,1,1,0,0,47,57679,5,0
102,1,1,1,1,1,55,28427,7,1
103,1,1,0,0,0,59,98796,0,1
104,1,1,0,1,0,57,31064,6,0
105,1,0,1,0,1,47,24679,2,0
106,1,0,1,1,0,44,67099,3,0
107,1,1,0,0,1,43,35950,4,1
108,1,1,0,1,1,44,93438,5,1
109,1,1,1,0,0,32,84697,2,1
110,0,0,1,1,1,63,77411,4,0
111,1,1,0,0,0,46,82183,4,1
112,0,0,1,0,1,50,29553,5,0
113,1,1,0,0,0,36,75264,1,1
114,1,1,1,1,0,18,30903,9,1
115,0,1,1,0,0,25,85709,5,1
116,1,1,1,1,0,49,68651,0,0
117,0,0,0,1,0,38,53611,7,1
118,1,0,1,0,0,62,66094,6,1
119,1,0,0,0,0,19,79013,4,1
120,0,0,1,0,0,18,24960,1,1
121,1,0,1,1,1,35,36789,1,1
122,0,1,0,1,1,63,22942,9,0
123,1,1,1,0,0,68,34387,2,0
124,0,1,0,0,0,52,48484,2,0
125,0,0,1,0,1,65,74160,0,1
126,1,0,1,0,0,24,88887,9,1
127,1,1,0,0,1,22,36053,1,0
128,0,0,1,0,1,24,49412,7,1
129,1,1,1,1,1,49,77969,9,0
130,1,1,0,1,1,41,87387,6,1
131,1,1,0,1,1,52,25544,8,0
132,0,0,1,0,1,39,84001,7,0
133,0,0,0,0,0,59,39923,8,0
134,0,0,0,1,1,69,62950,5,0
135,0,0,1,1,0,62,49671,1,1
136,0,1,0,1,0,38,25707,2,1
137,0,1,1,0,0,67,58342,6,0
138,0,1,0,1,1,18,60090,6,1
139,0,0,1,0,1,32,33749,8,0
140,0,0,0,1,0,44,39278,2,1
141,1,0,0,0,1,29,71302,7,1
142,0,1,0,0,1,38,48784,0,1
143,1,0,0,0,0,64,86591,5,0
144,1,0,1,0,1,29,92897,0,1
145,1,0,0,0,0,53,66784,8,0
146,0,1,1,1,0,54,87738,3,0
147,0,1,1,0,0,48,82245,8,1
148,0,1,1,0,1,22,36517,2,0
149,0,1,1,0,0,63,79713,0,0
150,1,0,0,1,0,49,83176,8,1
151,0,1,0,1,1,42,33598,1,0
152,0,0,0,1,0,28,59113,0,0
153,0,1,1,0,0,38,22239,3,0
154,0,1,0,0,0,43,78802,0,1
155,0,1,0,1,1,19,49951,4,1
156,1,0,0,1,0,65,25962,1,1
157,0,1,0,0,1,60,78301,6,1
158,1,1,0,1,1,62,70396,5,1
159,0,0,1,0,0,37,60663,8,1
160,1,0,1,1,1,68,36694,8,0
161,0,1,1,0,0,18,66156,9,1
162,0,0,1,1,0,25,60213,2,0
163,1,1,0,1,0,59,70741,0,1
164,1,1,0,0,0,20,22242,1,0
165,1,0,1,0,0,66,74065,9,1
166,0,1,0,1,1,63,49144,1,1
167,1,0,1,1,1,69,42988,7,1
168,0,1,0,0,1,33,40991,5,0
169,0,1,1,1,0,27,20234,6,0
170,1,1,1,1,1,63,46421,4,0
171,1,1,0,0,1,57,49302,0,0
172,0,0,1,0,0,31,88226,1,0
173,0,0,0,0,1,32,48912,9,0
174,1,1,0,1,0,21,63128,2,1
175,1,0,1,0,0,52,67652,8,0
176,1,0,1,1,0,46,80004,9,1
177,0,1,1,0,1,22,36040,5,1
178,0,1,0,0,0,27,33605,2,1
179,0,1,1,1,1,66,41355,1,1
180,0,0,1,1,0,38,52792,4,1
181,0,1,1,1,0,59,72028,4,1
182,0,1,1,1,0,52,44941,8,0
183,1,1,1,0,1,41,60389,8,0
184,0,0,0,1,0,62,24486,8,0
185,0,0,0,1,0,38,72868,2,1
186,0,0,0,0,1,46,65260,1,1
187,1,1,1,0,1,52,33931,9,0
188,0,0,1,1,0,69,46879,1,0
189,0,0,1,0,0,69,24629,1,0
190,1,1,1,0,1,49,35465,6,0
191,0,1,0,1,0,46,78102,6,1
192,0,0,0,1,1,51,68990,9,1
193,0,0,0,1,1,40,34059,5,1
194,0,0,0,1,0,35,56221,2,0
195,0,0,0,1,0,63,54356,4,1
196,1,1,1,0,0,28,39815,5,0
197,1,1,0,0,0,46,80595,7,1
198,1,0,1,0,0,56,91704,2,0
199,0,1,0,1,0,19,53508,0,1
200,0,1,1,1,1,41,61294,6,0
201,0,0,1,0,0,23,42419,7,0
202,1,0,0,1,1,64,21679,2,1
203,0,0,0,1,0,53,52935,0,0
204,0,1,1,1,0,57,29264,5,1
205,1,0,0,1,0,38,23222,1,1
206,0,0,0,0,0,26,23025,4,0
207,1,1,0,1,0,30,46791,7,0
208,1,0,0,1,0,58,88962,8,0
209,1,1,1,1,0,67,53849,8,1
210,0,0,1,0,0,52,22832,5,1
211,0,1,0,0,0,65,74163,9,0
212,0,1,0,0,0,41,42020,4,0
213,0,0,1,0,0,60,56066,9,0
214,0,0,0,1,0,46,42647,4,1
215,0,0,1,1,1,25,21313,5,1
216,0,0,1,0,0,24,63526,7,0
217,1,0,1,0,1,40,48978,1,0
218,0,1,1,1,0,27,23463,6,1
219,1,0,1,0,0,49,23688,4,1
220,0,0,0,0,1,25,70439,1,0
221,0,0,1,1,1,64,29516,3,1
222,0,1,0,1,1,38,87816,4,0
223,1,0,1,0,0,20,33785,8,0
224,1,1,0,0,1,27,33795,3,0
225,1,1,1,1,1,44,47505,2,1
226,1,0,1,0,1,29,71116,4,1
227,0,0,1,0,1,34,82588,0,0
228,1,1,0,1,0,65,64722,9,1
229,0,1,0,1,0,34,43779,4,1
230,0,1,0,0,0,43,90190,1,0
231,1,1,1,0,0,24,59684,9,0
232,1,1,1,1,0,19,27310,6,1
233,1,0,1,0,1,33,64246,3,0
234,1,1,1,1,0,38,49749,0,1
235,1,1,0,1,0,67,77619,1,1
236,1,1,1,0,0,54,96289,6,0
237,1,1,1,1,0,58,55784,8,0
238,1,1,1,0,0,58,73213,7,0
239,0,0,1,0,0,26,46697,7,0
240,1,0,1,0,0,57,68665,8,0
241,1,1,0,1,0,44,56058,9,1
242,0,0,1,1,0,39,93920,8,1
243,1,1,0,0,0,59,78907,5,1
244,0,0,0,1,1,39,70456,3,0
245,0,0,0,0,0,18,41212,7,1
246,1,0,0,0,1,32,20700,5,1
247,0,0,1,1,1,23,36110,7,0
248,0,1,0,0,1,57,40866,5,0
249,0,0,0,0,1,43,95744,0,0
250,0,1,1,0,1,38,85137,4,1
251,1,0,1,1,0,51,22727,2,0
252,0,0,1,1,0,19,56608,6,0
253,1,0,1,0,1,23,95598,1,0
254,0,1,1,1,1,39,56183,2,0
255,0,0,1,1,1,29,94510,8,1
256,0,0,0,0,0,65,63318,7,1
257,0,0,0,1,1,23,86013,8,0
258,1,1,0,0,0,50,82585,3,1
259,1,0,1,0,0,38,72956,9,0
260,0,0,0,0,0,19,51269,2,0
261,0,1,0,0,1,20,27157,5,1
262,1,0,0,1,0,66,20439,0,0
263,0,0,0,0,0,43,54185,4,0
264,0,1,1,0,1,27,71578,4,0
265,0,0,0,0,1,59,26467,4,0
266,1,1,1,0,1,48,28009,8,0
267,1,1,1,1,0,34,90470,6,0
268,1,1,1,1,0,50,40754,8,0
269,0,0,0,1,0,46,69033,1,1
270,0,1,1,0,1,40,70330,5,1
271,1,1,0,0,0,52,57175,8,1
272,1,0,1,1,1,21,78133,2,1
273,1,0,0,1,0,68,29909,1,0
274,1,0,1,1,0,59,59241,0,1
275,0,1,0,0,0,43,30523,3,0
276,1,1,1,0,0,39,82279,7,1
277,0,1,1,1,1,69,40148,2,0
278,1,0,1,1,0,34,90383,6,1
279,0,1,1,0,0,61,38322,9,1
280,1,1,1,0,1,43,35463,2,1
281,1,0,1,0,1,24,75287,0,0
282,1,1,1,0,1,50,42960,5,0
283,1,0,1,1,0,58,55037,6,1
284,0,0,1,1,0,24,40022,0,1
285,1,1,0,1,0,38,42807,6,1
286,0,1,0,0,0,45,62945,3,1
287,0,1,1,1,0,50,87968,1,0
288,0,1,1,0,1,61,51020,5,1
289,0,0,1,0,0,33,77008,6,0
290,1,0,0,0,0,65,83590,4,0
291,0,1,1,1,1,58,76532,1,1
292,0,0,0,0,0,69,27285,3,1
293,0,0,1,0,1,24,70081,9,0
294,1,1,0,1,1,44,79954,7,1
295,1,0,1,1,0,68,93946,9,1
296,1,1,1,1,0,57,72425,5,1
297,1,1,0,0,0,35,35003,6,0
298,0,0,1,0,1,36,25968,8,0
299,0,1,0,0,1,19,60284,4,0
300,1,0,0,1,1,66,34779,1,1
301,0,0,0,0,0,24,93355,0,0
302,0,0,1,1,1,56,45862,6,0
303,0,0,1,1,1,26,57821,5,1
304,1,1,0,1,0,34,34152,3,0
305,1,1,1,1,1,66,64553,6,0
306,0,0,0,1,1,57,32399,9,0
307,1,0,1,1,0,65,34701,9,0
308,1,1,0,1,0,61,59490,7,0
309,1,1,1,0,1,22,80490,4,1
310,1,0,0,0,0,27,59995,9,0
311,1,1,1,1,1,66,64972,5,0
312,0,0,1,0,1,25,81624,4,1
313,1,1,0,0,1,36,92285,1,0
314,0,0,0,1,0,25,35659,8,1
315,0,1,1,0,0,30,22930,7,1
316,1,1,1,0,1,36,21993,4,1
317,0,1,0,1,0,35,60142,3,1
318,0,0,0,0,0,28,95085,7,1
319,0,0,0,0,0,61,35800,5,1
320,1,0,1,1,0,68,30093,8,1
321,1,1,1,0,1,41,57054,4,1
322,0,0,0,0,0,68,98053,0,0
323,1,1,0,1,1,58,38161,5,0
324,1,0,0,1,1,69,40484,8,1
325,1,0,0,0,0,31,80664,7,1
